term_or_phrase,common_abbreviation,type,chinese,category,scenario,definition_en,definition_cn,example_sentence,translation,difficulty,source_section,knowledge_source,standard_classification,business_domain,term_frequency_level,business_scenario
aggregation criteria,,phrase,汇总标准,Segment reporting,segment aggregation,"aggregation criteria is a professional expression used in IFRS/HKFRS financial reporting, audit, valuation or disclosure contexts.",汇总标准，是IFRS/HKFRS财务报告、审计、估值或披露语境中的专业表达。,Supporting schedules reconcile aggregation criteria to the primary statements.,辅助附表将汇总标准与主要财务报表进行调节。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 129; IFRS 8 | example: Illust_FS(12.25).txt: line 4648 | example: Illust_FS(12.25).txt: line 4661,IFRS/HKFRS standards term library,IFRS 8,Segment reporting,5 - Very high / core,Financial reporting
entity-wide disclosures,,phrase,主体层面披露,Segment reporting,products; geography; major customers,"entity-wide disclosures is a professional expression used in IFRS/HKFRS financial reporting, audit, valuation or disclosure contexts.",主体层面披露，是IFRS/HKFRS财务报告、审计、估值或披露语境中的专业表达。,Disclosure controls check the completeness of entity-wide disclosures.,披露控制程序检查整个主体层面披露的完整性。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 134; IFRS 8 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 19458 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 19736,IFRS/HKFRS standards term library,IFRS 8,Segment reporting,5 - Very high / core,Financial reporting
intersegment sales,,phrase,分部间销售,Segment reporting,segment revenue reconciliation,"intersegment sales is a professional expression used in IFRS/HKFRS financial reporting, audit, valuation or disclosure contexts.",分部间销售，是IFRS/HKFRS财务报告、审计、估值或披露语境中的专业表达。,Professional judgement is applied when interpreting intersegment sales.,在解释分部间销售时需要运用专业判断。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 133; IFRS 8 | example: Illust_FS(12.25).txt: line 4710,IFRS/HKFRS standards term library,IFRS 8,Segment reporting,4 - High,Financial reporting
major customers,,phrase,主要客户,Segment reporting,customer concentration disclosure,"major customers is a professional expression used in IFRS/HKFRS financial reporting, audit, valuation or disclosure contexts.",主要客户，是IFRS/HKFRS财务报告、审计、估值或披露语境中的专业表达。,Controllers check whether major customers has been applied consistently.,主计长检查主要客户是否得到一贯应用。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 135; IFRS 8 | example: Illust_FS(12.25).txt: line 686 | example: Illust_FS(12.25).txt: line 4947,IFRS/HKFRS standards term library,IFRS 8,Segment reporting,5 - Very high / core,Financial reporting
segment assets,,phrase,分部资产,Segment reporting,management reporting | IFRS 8,"segment assets is a professional expression used in IFRS/HKFRS financial reporting, audit, valuation or disclosure contexts.",分部资产，是IFRS/HKFRS财务报告、审计、估值或披露语境中的专业表达。,Relevant disclosures should make segment assets understandable to users.,相关披露应使分部资产为使用者所理解。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 131; IFRS 8 | IFRS专业词汇.xlsx/Sheet1 row 194 | example: Illust_FS(12.25).txt: line 4670 | example: isg-2026-ifs.txt: line 1317,IFRS/HKFRS standards term library,IFRS 8,Segment reporting,5 - Very high / core,Financial reporting
segment liabilities,,phrase,分部负债,Segment reporting,management reporting | IFRS 8,"segment liabilities is a professional expression used in IFRS/HKFRS financial reporting, audit, valuation or disclosure contexts.",分部负债，是IFRS/HKFRS财务报告、审计、估值或披露语境中的专业表达。,Recognition criteria are assessed before recording segment liabilities.,在确认分部负债前应评估确认条件。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 132; IFRS 8 | IFRS专业词汇.xlsx/Sheet1 row 195 | example: isg-2026-ifs.txt: line 1320,IFRS/HKFRS standards term library,IFRS 8,Segment reporting,5 - Very high / core,Financial reporting
segment profit or loss,,phrase,分部损益,Segment reporting,management reporting,"segment profit or loss is a professional expression used in IFRS/HKFRS financial reporting, audit, valuation or disclosure contexts.",分部损益，是IFRS/HKFRS财务报告、审计、估值或披露语境中的专业表达。,Group management evaluates segment profit or loss during consolidation procedures.,集团管理层在合并过程中评价分部损益。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 130; IFRS 8 | example: Illust_FS(12.25).txt: line 4790 | example: isg-2025-insights-an-overview.txt: line 1653,IFRS/HKFRS standards term library,IFRS 8,Segment reporting,4 - High,Financial reporting
cost method,,phrase,成本法,Separate FS,investment accounting policy,"cost method is a professional expression used in valuation or fair value measurement, including inputs, techniques or measurement outcomes.",成本法，是估值或公允价值计量中的专业表达，通常涉及输入值、估值技术或计量结果。,Valuation specialists consider cost method when selecting inputs.,估值专家在选择输入值时考虑成本法。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 463; IAS 27 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 9517 | example: Illust_FS(12.25).txt: line 3928,IFRS/HKFRS standards term library,IAS 27,Fair value / Valuation,5 - Very high / core,Valuation
equity method in separate financial statements,,phrase,单独财务报表中的权益法,Separate FS,investment accounting policy,"equity method in separate financial statements is a professional expression used in IFRS/HKFRS financial reporting, audit, valuation or disclosure contexts.",单独财务报表中的权益法，是IFRS/HKFRS财务报告、审计、估值或披露语境中的专业表达。,Sensitivity analysis may show how equity method in separate financial statements affects reported amounts.,敏感性分析可能显示单独财务报表中的权益法如何影响报告金额。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 464; IAS 27,IFRS/HKFRS standards term library,IAS 27,Separate FS,3 - Medium,Financial reporting
investments in associates,,phrase,对联营企业的投资,Separate FS,separate financial statements,"investments in associates is a professional expression used in IFRS/HKFRS financial reporting, audit, valuation or disclosure contexts.",对联营企业的投资，是IFRS/HKFRS财务报告、审计、估值或披露语境中的专业表达。,The Group does not plan to dispose of its investments in associates in the foreseeable future.,本集团并无计划在可预见的未来处置其于联营企业的投资。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 461; IAS 27 | example: isg-2025-insights-an-overview.txt: line 1785 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 21654 | example: isg-2026-ifs.txt: line 2700,IFRS/HKFRS standards term library,IAS 27,Separate FS,4 - High,Financial reporting
investments in joint ventures,,phrase,对合营企业的投资,Separate FS,separate financial statements,"investments in joint ventures is a professional expression used in IFRS/HKFRS financial reporting, audit, valuation or disclosure contexts.",对合营企业的投资，是IFRS/HKFRS财务报告、审计、估值或披露语境中的专业表达。,Analysts review investments in joint ventures when evaluating period-to-period performance.,分析人员在评价各期业绩时审阅对合营企业的投资。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 462; IAS 27 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 22496,IFRS/HKFRS standards term library,IAS 27,Separate FS,4 - High,Financial reporting
investments in subsidiaries,,phrase,对子公司的投资,Separate FS,cost/FV/equity method in separate FS,"investments in subsidiaries is a professional expression used in IFRS/HKFRS financial reporting, audit, valuation or disclosure contexts.",对子公司的投资，是IFRS/HKFRS财务报告、审计、估值或披露语境中的专业表达。,The consolidation worksheet shows how investments in subsidiaries affects group reporting.,合并工作底稿显示了对子公司的投资如何影响集团报告。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 460; IAS 27 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 2783 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 12497,IFRS/HKFRS standards term library,IAS 27,Separate FS,4 - High,Financial reporting
separate financial statements,,phrase,单独财务报表,Separate FS,parent-only financial statements,"separate financial statements is a professional expression used in IFRS/HKFRS financial reporting, audit, valuation or disclosure contexts.",单独财务报表，是IFRS/HKFRS财务报告、审计、估值或披露语境中的专业表达。,IFRS Accounting Standards do not require the preparation of separate financial statements for the parent entity but laws in certain jurisdictions may require preparation of separate financial statements.,IFRS会计准则不要求母公司编制单独财务报表，但某些司法管辖区的法律可能要求编制单独财务报表。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 459; IAS 27 | example: isg-2025-insights-an-overview.txt: line 2054 | example: isg-2025-insights-an-overview.txt: line 964 | example: isg-2026-ifs.txt: line 257,IFRS/HKFRS standards term library,IAS 27,Separate FS,5 - Very high / core,Law
settlement,,term,结算,Settlement,cash/equity settlement,"settlement is a professional expression used in share-based payment accounting, including grant terms, vesting conditions or measurement of awards.",结算，是股份支付会计中的专业表达，通常涉及授予条款、可行权条件或奖励计量。,The Group recognises gains and losses on the settlement of a defined benefit plan when the settlement occurs.,本集团在结算发生时确认设定受益计划结算的利得和损失。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 65; IFRS 2 | example: isg-2026-ifs.txt: line 7389,IFRS/HKFRS standards term library,IFRS 2,Share-based payment,4 - High,Financial reporting
